dataset,condition,score,aurc_mean,aurc_std
PADERBORN,mixed_snr,adaptive_sequence_1,0.03414862538805207,0.012543316736694354
PADERBORN,mixed_snr,adaptive_sequence_8,0.03381361506895803,0.011549268547845729
PADERBORN,mixed_snr,adaptive_sequence_32,0.024185304793364264,0.007896530695311587
PADERBORN,mixed_snr,adaptive_sequence_128,0.024185304793364264,0.007896530695311587
PADERBORN,colored_-6,adaptive_sequence_1,0.3832913822104171,0.047025400176580856
PADERBORN,colored_-6,adaptive_sequence_8,0.37901400970681176,0.05700913728624463
PADERBORN,colored_-6,adaptive_sequence_32,0.3845912383847155,0.0517181485639192
PADERBORN,colored_-6,adaptive_sequence_128,0.39099344715264817,0.04200886052384734
PADERBORN,impulse_-6,adaptive_sequence_1,0.1502051608759067,0.025883237999065348
PADERBORN,impulse_-6,adaptive_sequence_8,0.15038127084674555,0.02616220074824853
PADERBORN,impulse_-6,adaptive_sequence_32,0.15038127084674555,0.02616220074824853
PADERBORN,impulse_-6,adaptive_sequence_128,0.15038127084674555,0.02616220074824853
PADERBORN,mechanical_-6,adaptive_sequence_1,0.5029229034489345,0.014632011618026098
PADERBORN,mechanical_-6,adaptive_sequence_8,0.4834819406780791,0.01871391443118522
PADERBORN,mechanical_-6,adaptive_sequence_32,0.4834819406780791,0.01871391443118522
PADERBORN,mechanical_-6,adaptive_sequence_128,0.4834819406780791,0.01871391443118522
