dataset,condition,reference,adaptive_aurc_mean,adaptive_aurc_std,reference_aurc_mean,aurc_reduction_mean,top10_accuracy_gain_mean,better_seed_count,equal_seed_count
JNU,clean,learned_evidence,0.0209236042967558,0.010516966240134044,0.023200992776501565,0.002277388479745766,0.0,2,0
JNU,snr_6,confidence,0.020223683585895835,0.00859205183754899,0.020223683585895835,0.0,0.0,0,3
JNU,snr_6,negative_entropy,0.020223683585895835,0.00859205183754899,0.020280702480897264,5.7018895001431876e-05,0.0,2,0
JNU,snr_6,probability_margin,0.020223683585895835,0.00859205183754899,0.020156007845998834,-6.76757398970004e-05,0.0,1,0
JNU,snr_6,learned_evidence,0.020223683585895835,0.00859205183754899,0.021932084818738536,0.0017084012328427,0.004166666666666652,2,0
JNU,snr_0,confidence,0.0654113823026172,0.02002584226169887,0.0654113823026172,0.0,0.0,0,3
JNU,snr_0,negative_entropy,0.0654113823026172,0.02002584226169887,0.06533957170648014,-7.18105961370688e-05,0.0,2,0
JNU,snr_0,probability_margin,0.0654113823026172,0.02002584226169887,0.06561352310708145,0.00020214080446423477,0.0,2,0
JNU,snr_0,learned_evidence,0.0654113823026172,0.02002584226169887,0.06683068835416964,0.0014193060515524335,0.012499999999999992,2,0
JNU,snr_-6,confidence,0.4140639018471702,0.02893072687401048,0.4081488134583009,-0.00591508838886932,-0.004166666666666652,2,0
JNU,snr_-6,negative_entropy,0.4140639018471702,0.02893072687401048,0.4046732700186395,-0.009390631828530727,-3.700743415417188e-17,1,0
JNU,snr_-6,probability_margin,0.4140639018471702,0.02893072687401048,0.4107066767854555,-0.003357225061714708,-0.002083333333333326,2,0
JNU,snr_-6,learned_evidence,0.4140639018471702,0.02893072687401048,0.4140639018471702,0.0,0.0,0,3
JNU,mixed_snr,confidence,0.07537774703309223,0.014228868960202945,0.07537774703309223,0.0,0.0,0,3
JNU,mixed_snr,negative_entropy,0.07537774703309223,0.014228868960202945,0.07460284939766233,-0.000774897635429902,0.0,0,0
JNU,mixed_snr,probability_margin,0.07537774703309223,0.014228868960202945,0.07603467940984072,0.0006569323767485041,0.0,3,0
JNU,mixed_snr,learned_evidence,0.07537774703309223,0.014228868960202945,0.07516472437183173,-0.00021302266126050026,0.006250000000000015,1,0
JNU,colored_-6,confidence,0.4411365874164828,0.034606877042369664,0.43245891812827164,-0.008677669288211157,-0.006249999999999978,0,0
JNU,colored_-6,negative_entropy,0.4411365874164828,0.034606877042369664,0.43045844284483675,-0.010678144571646083,-0.004166666666666652,0,0
JNU,colored_-6,probability_margin,0.4411365874164828,0.034606877042369664,0.43383350496566014,-0.007303082450822618,-0.004166666666666652,0,0
JNU,colored_-6,learned_evidence,0.4411365874164828,0.034606877042369664,0.4411365874164828,0.0,0.0,0,3
JNU,impulse_-6,confidence,0.6189073600972445,0.06823085181672976,0.5980357639085643,-0.020871596188680137,-0.03541666666666667,0,0
JNU,impulse_-6,negative_entropy,0.6189073600972445,0.06823085181672976,0.5978840703465343,-0.021023289750710144,-0.03958333333333334,0,0
JNU,impulse_-6,probability_margin,0.6189073600972445,0.06823085181672976,0.597969086231386,-0.02093827386585841,-0.03541666666666667,0,0
JNU,impulse_-6,learned_evidence,0.6189073600972445,0.06823085181672976,0.6189073600972445,0.0,0.0,0,3
JNU,mechanical_-6,confidence,0.547982474231505,0.04290962974682701,0.5521397144362964,0.004157240204791431,0.012500000000000011,2,0
JNU,mechanical_-6,negative_entropy,0.547982474231505,0.04290962974682701,0.551262724708018,0.003280250476512925,0.014583333333333337,2,0
JNU,mechanical_-6,probability_margin,0.547982474231505,0.04290962974682701,0.5514962485477914,0.003513774316286411,0.010416666666666685,2,0
JNU,mechanical_-6,learned_evidence,0.547982474231505,0.04290962974682701,0.547982474231505,0.0,0.0,0,3
PADERBORN,clean,confidence,0.001738210290206,0.0015701819317004307,0.001738210290206,0.0,0.0,0,3
PADERBORN,clean,negative_entropy,0.001738210290206,0.0015701819317004307,0.0017464551537732,8.244863567199943e-06,0.0,2,0
PADERBORN,clean,probability_margin,0.001738210290206,0.0015701819317004307,0.0017377244085862668,-4.858816197333913e-07,0.0,1,0
PADERBORN,clean,learned_evidence,0.001738210290206,0.0015701819317004307,0.0017032250703223667,-3.4985219883633434e-05,0.0,2,0
