condition,score,accuracy,macro_f1,coverage,selective_risk,accepted_accuracy,aurc,accuracy_at_10pct,accuracy_at_20pct,accuracy_at_30pct,accuracy_at_50pct,dataset
clean,ensemble_confidence,0.8137777777777778,0.8028532252310482,0.3988888888888889,0.003342618384401,0.9966573816155988,0.0483240455936882,1.0,1.0,1.0,0.9826666666666668,CWRU
clean,ensemble_negative_entropy,0.8137777777777778,0.8028532252310482,0.4104444444444444,0.0032485110990796,0.9967514889009204,0.0468696130317758,1.0,1.0,1.0,0.9844444444444445,CWRU
clean,ensemble_probability_margin,0.8137777777777778,0.8028532252310482,0.3888888888888889,0.0034285714285714,0.9965714285714286,0.0498492641761736,1.0,1.0,1.0,0.9808888888888888,CWRU
clean,negative_mutual_information,0.8137777777777778,0.8028532252310482,0.4211111111111111,0.0094986807387862,0.9905013192612138,0.0488263629518794,1.0,1.0,0.9992592592592592,0.9755555555555556,CWRU
snr_6,ensemble_confidence,0.78,0.7639889335550941,0.4151111111111111,0.0026766595289079,0.997323340471092,0.0565109053141915,1.0,1.0,1.0,0.9826666666666668,CWRU
snr_6,ensemble_negative_entropy,0.78,0.7639889335550941,0.4248888888888888,0.0026150627615062,0.9973849372384938,0.0550464893872395,1.0,1.0,1.0,0.9853333333333332,CWRU
snr_6,ensemble_probability_margin,0.78,0.7639889335550941,0.4006666666666666,0.0027731558513588,0.9972268441486412,0.0582807887557052,1.0,1.0,1.0,0.9822222222222222,CWRU
snr_6,negative_mutual_information,0.78,0.7639889335550941,0.4324444444444444,0.0077081192189105,0.9922918807810894,0.0559941678497937,1.0,1.0,0.9992592592592592,0.9831111111111112,CWRU
snr_0,ensemble_confidence,0.7646666666666667,0.7470553923991232,0.1793333333333333,0.0,1.0,0.0738944819676731,1.0,0.9988888888888888,0.9925925925925926,0.9497777777777778,CWRU
snr_0,ensemble_negative_entropy,0.7646666666666667,0.7470553923991232,0.1884444444444444,0.0,1.0,0.074855029952047,1.0,0.9988888888888888,0.991851851851852,0.9511111111111112,CWRU
snr_0,ensemble_probability_margin,0.7646666666666667,0.7470553923991232,0.1688888888888889,0.0,1.0,0.0772726536365766,1.0,0.9988888888888888,0.9933333333333332,0.9426666666666668,CWRU
snr_0,negative_mutual_information,0.7646666666666667,0.7470553923991232,0.166,0.0053547523427041,0.994645247657296,0.0964587361046593,1.0,0.9888888888888888,0.9755555555555556,0.9124444444444444,CWRU
snr_-6,ensemble_confidence,0.1791111111111111,0.1463026416319964,0.0662222222222222,0.651006711409396,0.348993288590604,0.7723440143325749,0.3266666666666666,0.3066666666666666,0.2651851851851852,0.1951111111111111,CWRU
snr_-6,ensemble_negative_entropy,0.1791111111111111,0.1463026416319964,0.0684444444444444,0.6461038961038961,0.3538961038961039,0.7624129616556277,0.3333333333333333,0.3088888888888889,0.2703703703703703,0.1977777777777777,CWRU
snr_-6,ensemble_probability_margin,0.1791111111111111,0.1463026416319964,0.0657777777777777,0.6621621621621622,0.3378378378378378,0.7773144148899093,0.32,0.2977777777777777,0.2614814814814815,0.1951111111111111,CWRU
snr_-6,negative_mutual_information,0.1791111111111111,0.1463026416319964,0.0653333333333333,0.6564625850340136,0.3435374149659864,0.777333910969435,0.3377777777777778,0.29,0.2562962962962963,0.1933333333333333,CWRU
mixed_snr,ensemble_confidence,0.6324444444444445,0.6474183139971996,0.268,0.0464344941956882,0.9535655058043118,0.1786775971482587,1.0,0.9955555555555556,0.9288888888888888,0.7902222222222223,CWRU
mixed_snr,ensemble_negative_entropy,0.6324444444444445,0.6474183139971996,0.2768888888888889,0.0457463884430177,0.9542536115569824,0.1718866511364958,1.0,0.9966666666666668,0.9355555555555556,0.7991111111111111,CWRU
mixed_snr,ensemble_probability_margin,0.6324444444444445,0.6474183139971996,0.2575555555555555,0.0465918895599655,0.9534081104400344,0.1835773312250528,1.0,0.9933333333333332,0.9214814814814816,0.7857777777777778,CWRU
mixed_snr,negative_mutual_information,0.6324444444444445,0.6474183139971996,0.274,0.0502838605028386,0.9497161394971614,0.1710917219602276,1.0,0.9933333333333332,0.9303703703703704,0.808,CWRU
colored_-6,ensemble_confidence,0.1124444444444444,0.0372972141332413,0.3437777777777778,0.8681318681318682,0.1318681318681318,0.8752775470269752,0.1177777777777777,0.1222222222222222,0.1288888888888889,0.1382222222222222,CWRU
colored_-6,ensemble_negative_entropy,0.1124444444444444,0.0372972141332413,0.3697777777777777,0.8653846153846154,0.1346153846153846,0.8730560926098294,0.1177777777777777,0.1211111111111111,0.1296296296296296,0.1386666666666666,CWRU
colored_-6,ensemble_probability_margin,0.1124444444444444,0.0372972141332413,0.3126666666666666,0.8727789623312011,0.1272210376687988,0.8766253179608672,0.1177777777777777,0.12,0.1281481481481481,0.1377777777777777,CWRU
colored_-6,negative_mutual_information,0.1124444444444444,0.0372972141332413,0.3057777777777777,0.8713662790697674,0.1286337209302325,0.8757216341392521,0.12,0.12,0.1274074074074074,0.1377777777777777,CWRU
impulse_-6,ensemble_confidence,0.1182222222222222,0.0458247988136483,0.0,1.0,0.0,0.8465587480705292,0.1777777777777777,0.1755555555555555,0.1592592592592592,0.16,CWRU
impulse_-6,ensemble_negative_entropy,0.1182222222222222,0.0458247988136483,0.0,1.0,0.0,0.8703513887290989,0.0733333333333333,0.1211111111111111,0.1377777777777777,0.1511111111111111,CWRU
impulse_-6,ensemble_probability_margin,0.1182222222222222,0.0458247988136483,0.0,1.0,0.0,0.8392298020769083,0.2111111111111111,0.1677777777777777,0.1644444444444444,0.1542222222222222,CWRU
impulse_-6,negative_mutual_information,0.1182222222222222,0.0458247988136483,0.0,1.0,0.0,0.8577681513002291,0.1244444444444444,0.1411111111111111,0.154074074074074,0.1555555555555555,CWRU
mechanical_-6,ensemble_confidence,0.15,0.0883239806838776,0.2071111111111111,0.8358369098712446,0.1641630901287553,0.832622796271377,0.1755555555555555,0.1666666666666666,0.1651851851851851,0.1737777777777777,CWRU
mechanical_-6,ensemble_negative_entropy,0.15,0.0883239806838776,0.2231111111111111,0.8356573705179283,0.1643426294820717,0.8309212358737867,0.1777777777777777,0.1666666666666666,0.1659259259259259,0.176,CWRU
mechanical_-6,ensemble_probability_margin,0.15,0.0883239806838776,0.1924444444444444,0.838337182448037,0.161662817551963,0.8337740219736351,0.1733333333333333,0.1633333333333333,0.1637037037037037,0.1728888888888889,CWRU
mechanical_-6,negative_mutual_information,0.15,0.0883239806838776,0.1851111111111111,0.8319327731092436,0.1680672268907563,0.8307888823048843,0.1755555555555555,0.1611111111111111,0.1659259259259259,0.1733333333333333,CWRU
